X_1,X_2,y
,,0
,,0
,,0
43.0,,0
,,0
,,0
14.0,,0
,,0
,,0
34.0,,0
,,0
,,0
,,0
,,0
,,0
,,0
41.0,,0
43.0,,0
47.0,,0
,,0
,,0
,497.0,1
,,0
,,0
,,0
49.0,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
3.0,,0
,,0
,,0
,,0
,,0
,,0
,,0
13.0,241.0,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
23.0,,0
,,0
,,0
,289.0,1
,,0
30.0,,0
,,0
,459.0,1
24.0,,0
,,0
9.0,,0
,,0
,,0
,109.0,1
,,0
,,0
26.0,,0
,,0
21.0,,0
,,0
,,0
19.0,,0
36.0,,0
,,0
35.0,,0
,,0
,,0
,,0
23.0,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
15.0,,0
,,0
,,0
20.0,306.0,1
,,0
,,0
,248.0,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,253.0,1
39.0,,0
,,0
,,0
,,0
,,0
,,0
,,0
32.0,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,499.0,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,214.0,0
,,0
,,0
17.0,,0
,,0
,,0
,,0
49.0,,0
,,0
,,0
,,0
37.0,,0
5.0,233.0,1
,,0
,,0
,,0
,,0
32.0,,0
,242.0,1
,,0
,,0
,149.0,1
,,0
,,0
29.0,,0
25.0,133.0,0
,,0
28.0,,0
9.0,,0
,,0
,,0
29.0,,0
17.0,27.0,0
,,0
2.0,,0
,,0
24.0,,0
,254.0,1
,,0
43.0,,0
,,0
,,0
,,0
,,0
19.0,380.0,0
,,0
,,0
12.0,,0
,,0
,290.0,0
,,0
,,0
,,0
19.0,,0
,,0
25.0,,0
,,0
,,0
,278.0,1
49.0,,0
14.0,,0
,,0
,164.0,1
7.0,,0
44.0,,0
,,0
,,0
,,0
,,0
,355.0,1
,,0
,,0
,,0
,36.0,1
,,0
,,0
,,0
,6.0,1
,,0
,,0
,,0
,,0
,,0
,,0
,,0
30.0,,0
,,0
,,0
3.0,477.0,1
,,0
4.0,,0
28.0,128.0,1
,84.0,0
34.0,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
44.0,,0
,,0
23.0,,0
,82.0,1
,,0
,,0
1.0,,0
,,0
,,0
,,0
44.0,,0
,,0
,,0
,,0
,62.0,0
,,0
50.0,,0
17.0,,0
,236.0,1
,30.0,1
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,2.0,1
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
17.0,264.0,1
,162.0,1
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,499.0,1
,,0
,,0
,,0
,335.0,1
,,0
,,0
4.0,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,17.0,1
,,0
,,0
46.0,,0
,,0
,,0
,,0
17.0,,0
,,0
,,0
15.0,,0
,,0
,,0
31.0,,0
,,0
,,0
,,0
,,0
,,0
,,0
,218.0,1
,,0
32.0,,0
,,0
,,0
,,0
,,0
,57.0,1
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,143.0,1
,245.0,1
,,0
,,0
,,0
,,0
1.0,,0
,497.0,1
,,0
35.0,,0
25.0,,0
,,0
,,0
,,0
,,0
,,0
,381.0,1
,,0
,,0
,,0
50.0,,0
,,0
,,0
,192.0,1
10.0,,0
5.0,,0
,274.0,1
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
18.0,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
28.0,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
47.0,,0
,,0
,,0
,,0
,250.0,1
,219.0,1
3.0,,0
,,0
,,0
,,0
,,0
,,0
50.0,,0
,,0
,,0
9.0,301.0,1
,,0
,,0
,,0
,,0
,319.0,1
,,0
,,0
,,0
,,0
,,0
37.0,,0
34.0,,0
,,0
,,0
,499.0,1
,,0
,,0
,,0
