Data,Time,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,TimeSunRise,TimeSunSet
9/29/2016 12:00:00 AM,23:55:26,1.21,48,30.46,59,177.39,5.62,06:13:00,18:13:00
9/29/2016 12:00:00 AM,23:50:23,1.21,48,30.46,58,176.78,3.37,06:13:00,18:13:00
9/29/2016 12:00:00 AM,23:45:26,1.23,48,30.46,57,158.75,3.37,06:13:00,18:13:00
9/29/2016 12:00:00 AM,23:40:21,1.21,48,30.46,60,137.71,3.37,06:13:00,18:13:00
9/29/2016 12:00:00 AM,23:35:24,1.17,48,30.46,62,104.95,5.62,06:13:00,18:13:00
9/29/2016 12:00:00 AM,23:30:24,1.21,48,30.46,64,120.2,5.62,06:13:00,18:13:00
9/29/2016 12:00:00 AM,23:25:19,1.2,49,30.46,72,112.45,6.75,06:13:00,18:13:00
9/29/2016 12:00:00 AM,23:20:22,1.24,49,30.46,71,122.97,5.62,06:13:00,18:13:00
9/29/2016 12:00:00 AM,23:15:22,1.23,49,30.46,80,101.18,4.5,06:13:00,18:13:00
9/29/2016 12:00:00 AM,23:10:22,1.21,49,30.46,85,141.87,4.5,06:13:00,18:13:00
9/29/2016 12:00:00 AM,23:05:23,1.23,49,30.47,93,120.55,2.25,06:13:00,18:13:00
9/29/2016 12:00:00 AM,23:00:25,1.21,49,30.47,98,144.19,3.37,06:13:00,18:13:00
9/29/2016 12:00:00 AM,22:55:20,1.22,49,30.47,99,139.8,6.75,06:13:00,18:13:00
9/29/2016 12:00:00 AM,22:50:19,1.21,50,30.47,99,140.92,2.25,06:13:00,18:13:00
9/29/2016 12:00:00 AM,22:45:31,1.23,50,30.47,99,147.61,5.62,06:13:00,18:13:00
9/29/2016 12:00:00 AM,22:40:23,1.22,50,30.47,99,113.78,4.5,06:13:00,18:13:00
9/29/2016 12:00:00 AM,22:35:19,1.21,50,30.47,99,123.03,10.12,06:13:00,18:13:00
9/29/2016 12:00:00 AM,22:30:22,1.22,50,30.47,99,173.73,6.75,06:13:00,18:13:00
9/29/2016 12:00:00 AM,22:25:19,1.22,50,30.47,98,91.43,6.75,06:13:00,18:13:00
9/29/2016 12:00:00 AM,22:20:22,1.2,50,30.47,98,109.74,6.75,06:13:00,18:13:00
9/29/2016 12:00:00 AM,22:15:22,1.2,50,30.47,98,143.53,2.25,06:13:00,18:13:00
9/29/2016 12:00:00 AM,22:10:21,1.2,50,30.47,97,146.76,5.62,06:13:00,18:13:00
9/29/2016 12:00:00 AM,22:05:20,1.21,50,30.47,97,158.35,4.5,06:13:00,18:13:00
9/29/2016 12:00:00 AM,22:00:26,1.22,50,30.47,97,166.05,5.62,06:13:00,18:13:00
9/29/2016 12:00:00 AM,21:55:20,1.22,50,30.47,96,151.82,5.62,06:13:00,18:13:00
9/29/2016 12:00:00 AM,21:50:32,1.22,50,30.47,96,152.52,6.75,06:13:00,18:13:00
9/29/2016 12:00:00 AM,21:45:28,1.24,50,30.47,95,127.82,7.87,06:13:00,18:13:00
9/29/2016 12:00:00 AM,21:40:20,1.23,50,30.47,95,157.58,6.75,06:13:00,18:13:00
9/29/2016 12:00:00 AM,21:35:21,1.23,50,30.47,95,172.96,7.87,06:13:00,18:13:00
9/29/2016 12:00:00 AM,21:30:21,1.23,50,30.47,95,143.82,6.75,06:13:00,18:13:00
9/29/2016 12:00:00 AM,21:25:22,1.24,50,30.47,94,154.03,5.62,06:13:00,18:13:00
9/29/2016 12:00:00 AM,21:20:21,1.2,50,30.47,93,165.93,4.5,06:13:00,18:13:00
9/29/2016 12:00:00 AM,21:15:23,1.24,50,30.47,93,139.82,7.87,06:13:00,18:13:00
9/29/2016 12:00:00 AM,21:10:20,1.21,49,30.47,93,166.07,9.0,06:13:00,18:13:00
9/29/2016 12:00:00 AM,21:05:26,1.24,50,30.47,93,116.16,5.62,06:13:00,18:13:00
9/29/2016 12:00:00 AM,21:00:20,1.2,50,30.47,92,157.48,4.5,06:13:00,18:13:00
9/29/2016 12:00:00 AM,20:55:18,1.19,50,30.47,91,112.27,7.87,06:13:00,18:13:00
9/29/2016 12:00:00 AM,20:50:20,1.25,50,30.47,90,133.69,6.75,06:13:00,18:13:00
9/29/2016 12:00:00 AM,20:45:24,1.25,50,30.47,88,140.64,6.75,06:13:00,18:13:00
9/29/2016 12:00:00 AM,20:40:19,1.23,50,30.47,87,52.89,1.12,06:13:00,18:13:00
9/29/2016 12:00:00 AM,20:35:19,1.21,50,30.47,86,132.66,4.5,06:13:00,18:13:00
9/29/2016 12:00:00 AM,20:30:18,1.25,50,30.46,85,138.35,5.62,06:13:00,18:13:00
9/29/2016 12:00:00 AM,20:25:20,1.23,50,30.46,84,109.87,3.37,06:13:00,18:13:00
9/29/2016 12:00:00 AM,20:20:23,1.23,50,30.47,81,123.25,3.37,06:13:00,18:13:00
9/29/2016 12:00:00 AM,20:15:20,1.26,50,30.46,75,158.64,4.5,06:13:00,18:13:00
9/29/2016 12:00:00 AM,20:10:22,1.17,50,30.46,70,165.22,5.62,06:13:00,18:13:00
9/29/2016 12:00:00 AM,20:05:22,1.22,50,30.46,63,160.51,3.37,06:13:00,18:13:00
9/29/2016 12:00:00 AM,20:00:18,1.22,50,30.46,51,155.36,4.5,06:13:00,18:13:00
9/29/2016 12:00:00 AM,19:55:23,1.22,50,30.46,47,157.78,6.75,06:13:00,18:13:00
9/29/2016 12:00:00 AM,19:50:22,1.24,50,30.46,46,151.6,3.37,06:13:00,18:13:00
9/29/2016 12:00:00 AM,19:45:25,1.25,50,30.46,47,105.78,4.5,06:13:00,18:13:00
9/29/2016 12:00:00 AM,19:40:22,1.19,50,30.46,48,135.55,4.5,06:13:00,18:13:00
9/29/2016 12:00:00 AM,19:35:22,1.19,50,30.46,56,140.92,4.5,06:13:00,18:13:00
9/29/2016 12:00:00 AM,19:30:20,1.23,50,30.46,57,165.0,4.5,06:13:00,18:13:00
9/29/2016 12:00:00 AM,19:25:21,1.19,51,30.46,55,126.63,3.37,06:13:00,18:13:00
9/29/2016 12:00:00 AM,19:20:20,1.23,51,30.46,54,119.97,4.5,06:13:00,18:13:00
9/29/2016 12:00:00 AM,19:15:22,1.22,51,30.45,53,95.57,2.25,06:13:00,18:13:00
9/29/2016 12:00:00 AM,19:10:24,1.24,51,30.45,51,100.02,4.5,06:13:00,18:13:00
9/29/2016 12:00:00 AM,19:05:20,1.24,51,30.45,51,111.73,2.25,06:13:00,18:13:00
9/29/2016 12:00:00 AM,19:00:24,1.23,51,30.45,52,145.77,5.62,06:13:00,18:13:00
9/29/2016 12:00:00 AM,18:55:19,1.23,51,30.45,51,105.89,6.75,06:13:00,18:13:00
9/29/2016 12:00:00 AM,18:50:24,1.24,51,30.45,52,120.86,5.62,06:13:00,18:13:00
9/29/2016 12:00:00 AM,18:45:19,1.23,51,30.44,55,170.11,5.62,06:13:00,18:13:00
9/29/2016 12:00:00 AM,18:40:21,1.21,52,30.44,55,107.15,5.62,06:13:00,18:13:00
9/29/2016 12:00:00 AM,18:35:21,1.24,52,30.44,55,129.29,6.75,06:13:00,18:13:00
9/29/2016 12:00:00 AM,18:30:23,1.18,52,30.45,59,158.73,3.37,06:13:00,18:13:00
9/29/2016 12:00:00 AM,18:25:19,1.52,52,30.44,59,211.38,2.25,06:13:00,18:13:00
9/29/2016 12:00:00 AM,18:20:23,5.07,53,30.44,61,174.97,4.5,06:13:00,18:13:00
9/29/2016 12:00:00 AM,18:15:21,6.16,53,30.44,62,120.78,7.87,06:13:00,18:13:00
9/29/2016 12:00:00 AM,18:10:52,6.63,53,30.44,59,118.82,5.62,06:13:00,18:13:00
9/29/2016 12:00:00 AM,18:05:22,10.96,54,30.44,59,154.16,4.5,06:13:00,18:13:00
9/29/2016 12:00:00 AM,18:00:22,19.42,55,30.44,57,58.42,6.75,06:13:00,18:13:00
9/29/2016 12:00:00 AM,17:55:22,27.14,55,30.44,53,47.86,4.5,06:13:00,18:13:00
9/29/2016 12:00:00 AM,17:50:19,33.75,56,30.44,52,74.56,2.25,06:13:00,18:13:00
9/29/2016 12:00:00 AM,17:45:22,49.57,56,30.44,49,25.72,6.75,06:13:00,18:13:00
9/29/2016 12:00:00 AM,17:40:22,59.62,56,30.44,50,102.11,2.25,06:13:00,18:13:00
